"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1957","Delete a book not present in the user's collection","","Fri May 30 22:32:42 EDT 2025","passed","Fri May 30 22:32:44 EDT 2025","","","",""
"","182","Fail to create a user with a missing password","","Fri May 30 22:34:50 EDT 2025","passed","Fri May 30 22:34:50 EDT 2025","","","",""
"","2486","Replace a book with an invalid token","","Fri May 30 22:32:35 EDT 2025","failed","Fri May 30 22:32:37 EDT 2025","","","",""
"","2212","Successfully create a new user with valid credentials","","Fri May 30 22:34:48 EDT 2025","passed","Fri May 30 22:34:50 EDT 2025","","","",""
"","521","Retrieve all books from the catalog","","Fri May 30 22:32:23 EDT 2025","passed","Fri May 30 22:32:24 EDT 2025","","","",""
"","1634","Replace a book that does not exist in the user's collection","","Fri May 30 22:32:33 EDT 2025","failed","Fri May 30 22:32:35 EDT 2025","","","",""
"","2396","Delete a book from the user's collection","","Fri May 30 22:32:40 EDT 2025","passed","Fri May 30 22:32:42 EDT 2025","","","",""
"","175","Retrieve a book using an invalid ISBN","","Fri May 30 22:32:24 EDT 2025","passed","Fri May 30 22:32:24 EDT 2025","","","",""
"","903","Fail to create a user with an already existing username","","Fri May 30 22:34:53 EDT 2025","passed","Fri May 30 22:34:54 EDT 2025","","","",""
"","180","Retrieve a specific book by ISBN","","Fri May 30 22:32:24 EDT 2025","passed","Fri May 30 22:32:24 EDT 2025","","","",""
"","1229","Fail to retrieve user with invalid token","","Fri May 30 22:34:51 EDT 2025","passed","Fri May 30 22:34:53 EDT 2025","","","",""
"","566","Fail to generate a token with missing password","","Fri May 30 22:34:54 EDT 2025","passed","Fri May 30 22:34:54 EDT 2025","","","",""
"","1232","Fail to generate token with invalid password","","Fri May 30 22:34:50 EDT 2025","passed","Fri May 30 22:34:51 EDT 2025","","","",""
"","2260","Delete a book with an invalid token","","Fri May 30 22:32:44 EDT 2025","passed","Fri May 30 22:32:46 EDT 2025","","","",""
"","2485","Replace a book with an invalid new ISBN","","Fri May 30 22:32:37 EDT 2025","failed","Fri May 30 22:32:40 EDT 2025","","","",""
"","1620","Add a book with an invalid token","","Fri May 30 22:32:27 EDT 2025","passed","Fri May 30 22:32:29 EDT 2025","","","",""
"","175","Fail to generate a token with missing username","","Fri May 30 22:34:54 EDT 2025","passed","Fri May 30 22:34:54 EDT 2025","","","",""
"","1743","Add a book to the user's collection","","Fri May 30 22:32:24 EDT 2025","passed","Fri May 30 22:32:26 EDT 2025","","","",""
"","1544","Add a book with an invalid ISBN to the user's collection","","Fri May 30 22:32:26 EDT 2025","passed","Fri May 30 22:32:27 EDT 2025","","","",""
"","227","Fail to create a user with a password missing non-alphanumeric character","","Fri May 30 22:34:53 EDT 2025","passed","Fri May 30 22:34:53 EDT 2025","","","",""
"","121538","Delete a book with missing user ID","","Fri May 30 22:32:46 EDT 2025","failed","Fri May 30 22:34:48 EDT 2025","","","",""
"","1583","Add a book with missing userId in request payload","","Fri May 30 22:32:29 EDT 2025","passed","Fri May 30 22:32:31 EDT 2025","","","",""
"","2248","Update a book in the user's collection","","Fri May 30 22:32:31 EDT 2025","passed","Fri May 30 22:32:33 EDT 2025","","","",""
